	NIW_0_MPI_1	NIW_0_MPI_2	NIW_0_MPI_3	IW_0_MPI_1	IW_0_MPI_2	IW_0_MPI_3
VIT_15s0046g00980	2799	1966	1879	1677	1776	1927
VIT_06s0004g05270	0	0	0	0	0	0
VIT_11s0103g00380	204	226	204	140	168	165
VIT_11s0016g01460	328	299	262	273	244	255
VIT_02s0025g01520	2019	1766	1655	1313	1914	1748
VIT_11s0037g01090	0	0	0	0	0	0
VIT_00s0229g00100	1295	970	719	707	934	888
VIT_19s0014g04430	0	0	1	0	0	0
VIT_00s0188g00180	0	0	0	0	0	0
VIT_02s0033g00130	347	295	252	414	330	403
VIT_12s0035g00870	111	104	102	51	84	58
VIT_11s0065g00900	85	65	63	135	100	118
VIT_04s0044g00590	116	113	101	119	83	87
VIT_13s0019g02450	114	131	99	129	173	185
VIT_07s0205g00030	428	362	349	550	686	661
VIT_05s0029g00250	0	0	0	0	0	0
VIT_14s0083g00920	16	4	1	4	6	6
VIT_04s0044g01970	273	187	190	150	168	155
VIT_11s0037g00210	2515	2285	1951	3417	3406	3700
VIT_14s0036g00870	0	0	0	0	0	0
VIT_03s0091g00870	473	389	325	389	391	425
VIT_10s0003g04920	0	0	0	0	0	0
VIT_18s0001g07650	98	108	102	123	98	114
VIT_10s0071g00610	72	60	73	88	71	84
VIT_12s0055g00040	0	0	0	0	0	1
VIT_01s0026g01480	524	442	498	326	356	397
VIT_13s0067g02370	10	18	15	5	16	18
VIT_02s0025g02720	287	321	270	307	199	248
VIT_09s0002g03130	609	725	542	348	509	471
VIT_00s0214g00010	79	35	56	42	22	38
VIT_06s0004g02260	5	3	4	6	4	8
VIT_01s0011g02360	16	15	42	54	16	42
VIT_09s0002g05070	416	362	391	311	348	375
VIT_03s0088g00550	0	0	0	0	0	0
VIT_13s0019g01850	376	297	372	176	219	225
VIT_08s0007g05200	140	162	149	166	98	125
VIT_04s0008g05450	110	89	77	129	152	144
VIT_15s0048g02590	850	808	776	605	704	688
VIT_04s0044g00960	53	65	60	22	31	33
VIT_04s0023g00310	1878	1645	1382	1267	1687	1587
VIT_03s0038g02200	701	831	652	626	640	696
VIT_05s0094g01640	79	54	55	72	101	78
VIT_14s0006g03070	827	724	703	592	669	628
VIT_14s0128g00940	0	0	0	0	0	0
VIT_11s0016g00680	0	1	0	0	1	2
VIT_08s0007g02270	1729	1937	1636	2376	2249	2504
VIT_02s0087g00460	1801	1811	1511	1321	1069	1239
VIT_04s0044g01530	249	133	144	176	470	357
VIT_13s0064g00880	4625	6438	7307	7491	5463	6795
VIT_15s0046g02230	878	702	716	744	552	766
VIT_01s0011g00920	42	71	55	77	87	82
VIT_00s0160g00020	8	4	2	7	7	4
VIT_19s0085g00940	9	5	11	15	10	12
VIT_04s0008g02660	12	13	14	6	11	7
VIT_01s0026g00410	1	5	1	6	3	5
VIT_08s0105g00430	13314	10015	11765	9034	11749	11178
VIT_05s0020g04980	1929	1850	1889	1875	2334	2302
VIT_12s0134g00230	0	1	2	1	0	1
VIT_10s0092g00070	2	1	0	1	0	1
VIT_15s0024g00550	1	1	1	0	0	2
VIT_00s0187g00280	69	67	60	60	76	61
VIT_18s0001g13850	0	0	0	0	0	0
VIT_15s0024g01960	131	55	120	260	655	574
VIT_14s0060g00540	0	1	0	1	0	0
VIT_01s0010g03530	663	727	562	357	425	426
VIT_15s0048g02620	31	37	33	56	72	63
VIT_08s0007g03850	1072	1548	1565	1858	1455	1643
VIT_00s0199g00200	0	0	0	0	0	0
VIT_09s0002g01420	1086	1164	1129	977	1247	1208
VIT_09s0002g08560	11	7	7	3	11	9
VIT_11s0016g01530	1	0	0	1	0	0
VIT_08s0056g01050	40	31	43	702	566	613
VIT_08s0040g01900	12	7	15	11	16	13
VIT_18s0001g15150	11	0	2	3	1	4
VIT_13s0101g00400	0	0	0	0	0	0
VIT_04s0044g01380	0	0	0	0	0	2
VIT_16s0050g01590	37	27	25	22	36	29
VIT_00s0479g00020	58	122	57	157	114	144
VIT_16s0098g01550	432	494	558	310	354	340
VIT_18s0041g01480	0	0	0	0	0	0
VIT_13s0019g03230	477	507	434	487	462	509
VIT_11s0037g00420	917	1017	830	1156	1170	1235
VIT_17s0000g02110	17	3	6	6	2	3
VIT_02s0025g00190	54	15	17	32	73	75
VIT_18s0001g00230	2364	2487	2415	2264	1980	2282
VIT_02s0241g00130	0	0	1	0	1	0
VIT_18s0117g00360	278	181	196	142	151	178
VIT_14s0066g01270	482	436	409	409	292	350
VIT_13s0067g03450	1	2	1	2	1	4
VIT_14s0006g02560	0	0	0	0	0	0
VIT_12s0028g02810	20	0	3	4	3	7
VIT_05s0020g04860	2471	1345	1525	771	1067	1014
VIT_01s0011g01200	10	45	129	101	40	98
VIT_18s0041g01460	18	12	5	6	8	18
VIT_18s0086g00680	0	0	0	0	0	0
VIT_03s0038g03900	250	276	224	356	286	347
VIT_03s0091g00930	29	29	35	18	30	31
VIT_03s0091g00310	180	252	124	377	366	398
VIT_16s0050g01060	949	900	813	1003	1076	1161
VIT_01s0146g00280	2580	2059	1378	2596	3218	2988
VIT_15s0048g02840	824	737	647	430	609	558
VIT_12s0034g00530	0	0	0	0	0	0
VIT_17s0000g05510	1553	1311	1413	1514	1100	1463
VIT_07s0141g00340	28	23	28	20	45	23
VIT_00s0276g00010	23	5	17	7	15	13
VIT_13s0084g00570	4	1	4	6	12	13
VIT_04s0023g00450	0	1	0	0	0	0
VIT_01s0137g00820	1470	1042	879	900	1112	1109
VIT_12s0059g00830	0	2	1	3	0	1
VIT_17s0000g04700	0	0	1	0	0	0
VIT_17s0000g06470	9	13	11	13	17	21
VIT_13s0047g00200	220	166	140	122	133	145
VIT_06s0004g00790	149	270	158	474	559	579
VIT_14s0083g01010	972	824	747	791	791	842
VIT_14s0006g01510	2	2	0	2	1	3
VIT_11s0052g00140	67	64	55	51	62	74
VIT_02s0033g01320	47	31	32	20	41	49
VIT_09s0002g02360	57	73	52	40	56	43
VIT_14s0006g01860	0	0	0	0	0	0
VIT_14s0030g02080	17	14	10	3	1	2
VIT_12s0134g00430	1268	1373	1088	1469	1254	1443
VIT_08s0007g06040	1921	3829	2083	2345	2902	2736
VIT_01s0113g00430	305	325	325	284	264	293
VIT_04s0008g03750	1934	2398	2566	2518	2327	2668
VIT_05s0020g02260	4	3	5	4	0	3
VIT_10s0003g00890	8962	8465	10272	8629	10934	10272
VIT_07s0031g02240	368	320	263	453	442	465
VIT_00s0490g00010	0	0	0	0	0	0
VIT_01s0127g00640	0	1	1	0	0	1
VIT_11s0016g01920	2721	2515	2524	4644	3551	4373
VIT_08s0058g00540	1506	1531	1241	1297	630	979
VIT_08s0007g07040	3	0	1	1	0	1
VIT_04s0008g00770	1574	1687	1812	2121	2315	2253
VIT_18s0001g07090	1516	897	889	924	755	962
VIT_04s0044g01450	896	793	777	587	1000	849
VIT_07s0130g00220	582	367	369	472	700	618
VIT_14s0066g01990	0	0	0	0	0	0
VIT_00s0467g00010	14	11	8	22	27	14
VIT_01s0011g02770	156	262	210	195	107	188
VIT_00s0174g00250	0	0	0	0	0	0
VIT_06s0004g02170	28	20	20	13	11	15
VIT_16s0115g00300	36	56	44	36	38	40
VIT_00s0324g00060	0	1	1	6	15	13
VIT_13s0019g00710	26	18	18	31	28	27
VIT_18s0001g00640	19	29	22	42	63	60
VIT_05s0136g00130	9	14	12	14	11	11
VIT_00s0463g00020	1105	520	460	365	298	364
VIT_04s0023g03480	519	432	377	467	512	495
VIT_18s0001g01080	955	558	520	760	809	886
VIT_04s0008g03660	120	157	110	198	264	246
VIT_03s0063g01460	6100	5408	5746	4758	7646	6579
VIT_03s0063g02040	1582	1783	1574	1468	2633	2226
VIT_01s0011g00350	2	0	0	2	1	6
VIT_01s0150g00040	104	131	113	150	101	148
VIT_16s0098g01080	771	1712	1325	2536	1795	2174
VIT_07s0185g00170	60	61	66	97	73	96
VIT_08s0040g00170	107	148	109	117	119	96
VIT_10s0116g01810	116	94	93	123	87	154
VIT_00s1375g00010	54	64	39	44	43	57
VIT_01s0026g02130	42	47	46	63	51	51
VIT_06s0004g01910	8243	8302	7978	10197	7527	9466
VIT_16s0050g01330	0	0	0	0	0	1
VIT_01s0010g02100	1355	1428	1247	996	1051	1089
VIT_05s0029g00320	0	0	0	0	0	0
VIT_14s0128g00270	41	36	36	49	23	39
VIT_18s0089g01400	0	1	0	0	0	0
VIT_13s0067g00870	435	477	460	382	427	433
VIT_14s0030g02240	140	179	207	224	181	201
VIT_17s0000g06370	788	1098	898	1754	1543	1841
VIT_15s0048g00780	3	0	1	9	5	4
VIT_03s0038g02510	14858	11673	11538	9237	16632	14572
VIT_00s0332g00100	1	0	0	1	2	1
VIT_17s0000g09190	386	200	130	618	411	636
VIT_16s0039g02200	1392	1201	1150	1569	1204	1334
VIT_14s0068g00980	254	278	251	156	161	178
VIT_00s0226g00060	301	238	227	182	194	211
VIT_04s0044g01020	162	136	96	197	182	198
VIT_13s0139g00410	1	0	0	0	1	0
VIT_14s0060g00630	1938	1721	1763	1786	1877	2057
VIT_04s0044g00480	8	5	5	3	6	1
VIT_12s0028g00440	271	247	240	316	361	345
VIT_14s0128g00910	0	0	0	1	0	1
VIT_07s0031g02720	636	690	598	344	508	417
VIT_04s0008g04060	12	6	6	24	22	28
VIT_08s0007g02580	4789	4600	4097	5833	5281	6153
VIT_09s0018g00890	0	2	0	2	1	2
VIT_11s0016g02010	95	112	96	103	85	85
VIT_19s0014g03530	1356	1388	1270	1170	1841	1667
VIT_19s0015g02660	0	0	1	4	28	32
VIT_05s0020g04440	710	727	588	578	704	755
VIT_05s0124g00470	30	32	40	39	58	46
VIT_18s0001g01310	140	53	54	39	46	48
VIT_10s0003g01380	0	0	0	0	2	0
VIT_12s0055g00290	31	31	34	55	71	72
VIT_05s0077g01450	1521	1828	1812	2375	1995	2271
VIT_04s0044g00840	1	0	0	0	0	0
VIT_06s0004g02680	2018	1699	1557	860	1178	1047
VIT_04s0043g00190	0	0	0	0	0	0
VIT_13s0067g01930	710	590	494	565	679	708
VIT_09s0002g01760	5812	5707	5805	8049	5993	7372
VIT_18s0001g06900	1310	1217	1284	791	1287	1141
VIT_00s0404g00070	164	100	90	184	132	177
VIT_08s0040g03000	2	3	6	5	3	4
VIT_18s0075g00520	250	138	167	240	221	265
VIT_13s0064g00450	503	409	373	417	452	511
VIT_19s0014g05070	1010	1136	1129	984	487	805
VIT_05s0077g01590	0	0	0	0	0	3
VIT_09s0054g00500	0	0	0	0	0	0
VIT_04s0008g05490	1699	1495	1486	933	1672	1456
VIT_01s0026g00670	992	1555	1935	1426	1472	1401
VIT_03s0110g00220	1	4	0	1	2	2
VIT_17s0000g01370	256	467	457	466	227	359
VIT_00s0371g00020	0	0	0	0	0	0
VIT_06s0009g02300	1609	1564	1745	1584	1783	1809
VIT_19s0027g00710	1262	1810	1837	1858	1440	1679
VIT_05s0029g01080	210	171	198	279	332	275
VIT_05s0049g00150	185	343	428	228	86	163
VIT_04s0008g04470	396	390	334	322	429	422
VIT_11s0016g03470	169	165	171	229	226	221
VIT_13s0019g03130	16	5	8	5	8	9
VIT_18s0001g06430	168	349	210	465	286	411
VIT_02s0087g00410	253	376	363	329	262	313
VIT_16s0050g01260	1129	1965	1165	2229	3777	3366
VIT_03s0038g04100	1794	1074	999	1755	1482	1764
VIT_13s0064g01870	22	14	13	15	20	30
VIT_00s0279g00050	12	13	6	24	33	24
VIT_18s0089g01230	747	457	528	692	448	596
VIT_06s0004g08410	1691	1493	1687	1273	1344	1389
VIT_16s0039g00260	107	120	88	58	71	72
VIT_18s0166g00170	0	0	0	0	0	0
VIT_00s1355g00020	1	0	0	3	3	1
VIT_09s0002g03510	1106	1004	953	851	1021	1078
VIT_18s0001g10280	0	0	0	0	1	0
VIT_18s0001g07920	1074	1184	1357	1194	1354	1370
VIT_14s0006g03120	610	612	568	368	475	427
VIT_17s0000g01150	123	121	153	109	154	120
VIT_08s0056g00790	648	727	586	631	669	666
VIT_04s0008g01680	38	38	37	67	57	48
VIT_17s0000g02250	629	627	735	511	676	604
VIT_13s0019g01290	127	189	179	147	70	102
VIT_10s0092g00340	1	0	0	10	2	3
VIT_01s0010g02380	257	221	191	226	267	264
VIT_19s0085g00300	0	0	0	0	0	0
VIT_01s0026g02180	0	1	0	0	0	0
VIT_16s0050g02150	0	0	0	0	0	0
VIT_03s0097g00110	11	15	10	17	7	9
VIT_00s0413g00010	0	0	0	0	0	0
VIT_18s0075g00570	4	4	2	5	3	4
VIT_09s0002g06280	595	616	691	781	680	726
VIT_08s0007g08680	496	556	373	548	800	718
VIT_13s0047g00830	0	0	0	0	0	0
VIT_02s0025g01050	6148	7267	6483	8301	6155	7829
VIT_04s0023g01860	382	283	302	266	323	308
VIT_08s0007g05450	32	37	37	21	21	23
VIT_17s0000g07100	0	0	0	0	0	0
VIT_09s0002g04290	189	227	218	160	117	149
VIT_18s0001g13110	0	1	1	2	0	0
VIT_03s0088g00270	82	81	53	142	107	135
VIT_03s0038g00810	0	0	0	0	0	0
VIT_03s0063g00590	166	159	139	56	100	80
VIT_16s0039g00550	0	0	0	0	0	0
VIT_10s0003g01760	103	158	184	130	210	186
VIT_05s0029g00500	479	392	343	560	703	725
VIT_16s0100g00240	0	1	1	0	1	0
VIT_00s0252g00110	31	10	16	15	15	19
VIT_02s0025g03490	183	280	186	221	404	291
VIT_14s0036g01300	0	0	0	0	0	0
VIT_12s0028g01230	96	96	105	154	78	118
VIT_15s0046g00890	0	0	0	0	0	0
VIT_01s0011g00240	1162	1547	2053	1550	1730	1694
VIT_04s0044g01470	0	0	0	0	0	0
VIT_08s0007g04690	372	661	689	664	600	650
VIT_01s0011g02760	15	17	16	31	19	35
VIT_08s0007g08450	335	368	305	441	405	433
VIT_17s0000g08110	0	0	0	0	0	0
VIT_19s0027g00390	269	245	194	263	187	230
VIT_08s0040g03260	136	205	216	135	82	124
VIT_09s0070g00290	10	11	26	21	24	21
VIT_08s0007g02830	321	298	327	168	204	213
VIT_19s0090g00880	25	18	11	30	23	23
VIT_00s0229g00020	1117	948	1099	718	1124	965
VIT_06s0004g05280	311	277	355	278	265	307
VIT_07s0005g01680	10	1	0	66	56	61
VIT_01s0010g00560	268	290	192	239	346	328
VIT_04s0023g00780	2152	2080	2051	1947	2646	2499
VIT_19s0090g01090	167	164	177	201	243	229
VIT_15s0021g01410	30	30	30	22	24	39
VIT_05s0049g01510	4	6	12	9	8	13
VIT_07s0005g02520	42	49	58	33	14	36
VIT_13s0047g01230	0	0	0	0	0	0
VIT_18s0041g00500	2	7	0	9	12	7
VIT_04s0008g04120	24	9	11	14	12	21
VIT_07s0031g01760	408	551	653	588	595	636
VIT_16s0022g00630	504	791	735	707	1030	934
VIT_04s0023g02860	0	0	0	0	0	0
VIT_18s0001g12190	9	7	17	9	20	17
VIT_00s0186g00050	0	0	2	0	1	0
VIT_07s0031g00580	0	0	0	0	0	0
VIT_13s0067g02360	96	17	37	72	19	53
VIT_03s0088g01060	505	399	591	567	524	569
VIT_12s0028g02330	29	33	43	20	23	24
VIT_09s0096g00380	0	0	0	1	0	1
VIT_18s0076g00200	0	0	0	1	2	4
VIT_14s0030g02040	0	1	1	1	1	2
VIT_06s0080g00970	172	124	102	96	98	141
VIT_12s0034g01470	44	31	44	30	44	55
VIT_07s0005g00400	3	3	4	4	2	2
VIT_03s0017g02340	0	0	0	0	0	0
VIT_11s0065g01090	806	936	859	693	776	756
VIT_16s0115g00500	0	0	0	0	0	0
VIT_03s0017g02360	1255	960	988	823	1192	1127
VIT_01s0011g06450	143	33	31	200	334	326
VIT_18s0001g04980	8650	6948	5559	4363	4142	4468
VIT_12s0059g00420	0	0	0	0	0	0
VIT_09s0002g04920	12	21	18	8	9	8
VIT_02s0012g01730	14	10	6	45	58	45
VIT_04s0008g01510	48	28	63	215	20	95
VIT_05s0049g01720	738	927	848	408	275	379
VIT_01s0010g00240	685	764	545	1024	819	937
VIT_18s0122g01150	0	0	0	0	0	0
VIT_02s0033g00500	1	0	1	0	0	1
VIT_03s0180g00290	9	10	11	7	10	8
VIT_18s0076g00360	1569	1608	1447	2881	2899	2872
VIT_12s0055g00370	574	725	677	727	617	734
VIT_18s0086g00580	0	0	0	0	0	0
VIT_05s0062g01440	0	0	0	0	0	0
VIT_10s0003g05160	28	23	21	35	79	71
VIT_04s0008g02700	382	529	520	643	481	533
VIT_17s0000g10470	0	0	0	0	0	0
VIT_01s0011g03050	965	961	758	630	860	777
VIT_13s0084g00050	847	715	679	545	628	676
VIT_15s0021g00220	1063	600	685	400	956	691
VIT_14s0030g00330	76	85	105	61	54	48
VIT_05s0051g00650	1857	1801	1743	2236	2065	2292
VIT_04s0023g02220	0	4	1	6	0	7
VIT_12s0034g02300	0	0	0	0	0	0
VIT_11s0016g02240	250	242	294	410	401	418
VIT_13s0067g02480	3945	3071	2930	3234	4695	4316
VIT_01s0011g00540	944	970	864	1020	976	1091
VIT_07s0031g01600	2261	2262	2164	1864	1721	1961
VIT_19s0015g02470	3	6	7	6	7	7
VIT_04s0008g06600	232	240	204	188	178	180
VIT_18s0001g02200	505	633	608	526	541	589
VIT_04s0069g00640	0	0	0	0	0	0
VIT_01s0011g04490	5209	5627	6215	6965	5469	6502
VIT_11s0149g00160	35	27	22	31	30	32
VIT_17s0000g01450	661	602	494	746	857	846
VIT_03s0091g00040	4310	4532	2330	2378	768	1664
VIT_11s0016g02000	5	13	10	7	10	6
VIT_06s0004g06650	82	79	50	79	86	93
VIT_12s0057g01440	43	35	32	51	73	74
VIT_08s0058g00370	2838	2769	3370	2662	2773	2757
VIT_12s0028g01920	5	3	1	3	2	3
VIT_09s0002g04490	279	293	286	316	245	321
VIT_16s0098g00330	1674	4000	4082	1444	874	1391
VIT_06s0061g01140	289	195	203	157	112	156
VIT_12s0028g02510	988	910	805	788	992	880
VIT_08s0007g01640	3243	2718	3340	2781	2587	2804
VIT_02s0025g02790	2009	1239	1064	2569	5472	5271
VIT_03s0017g01460	44	21	15	259	84	176
VIT_16s0100g00780	0	0	0	5	4	9
VIT_01s0146g00360	115	277	128	280	328	365
VIT_18s0001g11890	1486	1545	1224	1847	1903	2006
VIT_14s0066g01000	1973	1594	1736	1281	1066	1214
VIT_15s0045g00920	6	5	2	4	2	2
VIT_16s0039g00970	345	495	521	427	456	511
VIT_07s0129g01080	621	1013	926	842	363	657
VIT_00s0324g00100	34	46	35	58	45	59
VIT_07s0031g02040	1011	1274	1444	1252	1127	1318
VIT_08s0040g01520	21	26	20	27	29	29
VIT_00s0271g00040	10	23	15	14	13	14
VIT_04s0008g02620	356	431	482	508	381	444
VIT_00s0199g00120	37	61	65	71	71	77
VIT_12s0034g01060	16	6	7	5	8	5
VIT_10s0003g01610	1145	1313	1211	1200	1010	1197
VIT_16s0013g01690	0	0	0	0	0	0
VIT_18s0089g01140	12	2	6	27	34	22
VIT_19s0176g00060	0	1	0	0	0	0
VIT_02s0025g02280	0	0	0	0	0	0
VIT_09s0002g03350	1251	1306	1174	1137	443	857
VIT_18s0001g11650	65	90	105	65	147	115
VIT_11s0052g00940	14	22	25	20	13	16
VIT_18s0164g00110	0	0	0	0	0	0
VIT_14s0030g01520	61	48	54	33	50	46
VIT_18s0001g04110	0	0	0	0	0	0
VIT_15s0045g01250	462	546	514	458	580	541
VIT_05s0020g02450	149	153	114	144	160	174
VIT_12s0034g00950	120	193	151	151	73	102
VIT_14s0068g01320	12	21	23	19	8	16
VIT_02s0025g00100	3269	3236	3074	3285	3329	3468
VIT_19s0090g00450	225	276	220	216	257	253
VIT_18s0001g11680	354	63	52	35	14	31
VIT_10s0003g02880	1838	1514	1542	846	1357	1236
VIT_12s0028g00050	77	79	91	64	86	87
VIT_11s0118g00830	555	609	532	363	468	371
VIT_17s0053g00910	16	3	8	13	22	30
VIT_14s0066g02200	1063	1040	1181	872	1267	1163
VIT_15s0021g01110	0	0	0	1	0	0
VIT_01s0010g02070	149	109	140	121	140	131
VIT_08s0056g00360	0	0	0	0	1	0
VIT_14s0030g00600	3	0	4	2	2	1
VIT_15s0045g00520	0	0	0	0	0	0
VIT_08s0040g03200	3475	4793	5062	6626	4201	5586
VIT_04s0044g01930	108	128	107	83	87	102
VIT_17s0000g09730	0	0	0	0	0	1
VIT_00s1897g00010	177	271	318	281	238	284
VIT_14s0030g00670	15	15	28	23	14	23
VIT_06s0009g02040	2619	2639	2352	2201	2134	2215
VIT_13s0047g00040	12	7	11	9	13	11
VIT_07s0129g01050	1063	1110	798	1451	1981	1898
VIT_09s0002g04700	879	797	717	567	817	758
VIT_02s0012g00610	523	750	747	753	633	674
VIT_14s0030g01220	3835	4250	4607	5643	3318	4618
VIT_18s0117g00030	1	2	0	1	1	0
VIT_19s0090g01330	412	400	426	558	511	537
VIT_16s0039g02370	280	110	110	118	242	181
VIT_08s0007g06760	10	6	3	9	7	8
VIT_08s0007g06460	231	190	161	214	182	217
VIT_14s0006g01930	30	12	3	49	32	36
VIT_11s0065g00090	0	0	0	0	1	1
VIT_05s0020g04450	485	503	450	541	472	544
VIT_15s0048g00210	348	392	372	490	527	537
VIT_15s0024g01520	0	0	0	0	0	0
VIT_19s0014g00570	29	29	32	33	40	46
VIT_06s0009g02320	1587	1584	1676	1413	1646	1613
VIT_15s0021g01350	687	711	691	554	577	623
VIT_16s0039g01670	1553	1611	1309	1221	2245	1878
VIT_03s0038g00830	176	245	262	209	149	167
VIT_19s0090g00500	44	117	124	122	38	95
VIT_09s0002g03990	1285	1133	1022	1265	1478	1452
VIT_13s0067g00630	225	224	246	160	185	180
VIT_09s0002g05390	0	0	0	0	0	0
VIT_03s0063g00700	1	0	2	3	1	0
VIT_17s0000g09320	342	622	525	440	196	345
VIT_05s0029g01540	210	180	140	166	176	182
VIT_09s0002g07420	101	138	119	118	126	143
VIT_07s0005g00110	7	8	6	11	9	9
VIT_17s0053g01020	0	0	0	0	0	0
VIT_12s0142g00400	83	63	76	90	70	73
VIT_00s0246g00070	5	9	4	14	9	15
VIT_17s0000g03330	64	39	17	32	46	40
VIT_00s0120g00010	92	111	114	85	110	89
VIT_08s0056g00130	34	45	35	37	20	26
VIT_08s0105g00610	0	2	2	0	0	0
VIT_18s0001g04860	392	411	417	459	342	391
VIT_10s0003g01460	1053	1617	1356	1726	731	1322
VIT_05s0029g00490	16	28	30	25	43	37
VIT_18s0075g00480	92	45	59	54	147	121
VIT_05s0020g00780	676	830	862	690	677	711
VIT_17s0000g06680	1845	1675	1316	990	2283	1694
VIT_09s0096g00850	0	0	0	0	0	0
VIT_04s0044g00280	802	754	701	701	735	750
VIT_11s0016g00370	740	792	686	639	725	750
VIT_11s0016g04720	344	406	227	284	563	436
VIT_19s0015g00100	2	0	1	1	0	2
VIT_04s0008g05940	255	321	291	352	306	354
VIT_10s0116g00150	28	5	7	100	64	91
VIT_03s0017g00520	0	0	0	0	0	0
VIT_00s0322g00030	819	833	693	941	917	948
VIT_12s0034g02570	89	36	17	43	200	143
VIT_12s0034g02360	675	600	566	439	489	454
VIT_12s0028g02830	1	0	0	2	0	1
VIT_09s0054g01320	0	0	1	0	0	0
VIT_02s0012g02920	122	118	109	90	125	126
VIT_02s0012g01170	583	470	417	537	875	834
VIT_09s0002g03560	14	3	8	16	20	7
VIT_03s0063g02190	790	841	803	856	726	840
VIT_03s0038g03140	13	78	39	87	9	47
VIT_06s0061g00530	24	18	29	26	27	12
VIT_05s0136g00340	0	5	1	2	1	4
VIT_13s0101g00070	0	0	0	1	0	0
VIT_18s0001g10920	0	0	0	0	0	0
VIT_09s0002g00210	2158	2308	2135	1621	2251	2085
VIT_19s0015g01240	0	0	0	1	3	0
VIT_06s0009g02060	168	306	180	204	261	240
VIT_14s0030g00110	0	0	1	1	1	2
VIT_00s0202g00040	36	45	25	39	43	36
VIT_18s0075g00400	28	17	21	13	32	20
VIT_03s0017g00320	0	0	1	0	0	1
VIT_06s0009g00860	0	0	0	0	0	0
VIT_15s0046g03380	138	80	97	205	276	289
VIT_01s0010g02160	238	249	235	265	237	267
VIT_13s0158g00330	33	38	41	25	28	32
VIT_13s0067g02250	829	1060	1068	966	894	980
VIT_17s0000g05700	257	214	184	283	350	348
VIT_02s0033g00190	104	123	134	107	73	97
VIT_06s0004g07460	5	0	1	2	0	0
VIT_17s0000g04380	9	7	4	12	10	7
VIT_07s0005g05110	2	0	2	0	2	2
VIT_12s0034g02160	553	631	595	629	584	615
VIT_15s0048g02690	52	24	20	33	34	49
VIT_14s0171g00170	1940	1996	1410	1405	1999	1788
VIT_13s0067g01140	17	20	8	16	14	11
VIT_09s0002g04620	187	226	174	256	197	261
VIT_03s0110g00080	13	12	12	10	18	12
VIT_08s0040g01030	165	197	195	238	176	225
VIT_11s0149g00140	274	284	310	257	291	313
VIT_00s0208g00100	13	8	28	19	22	23
VIT_16s0022g02490	0	0	0	0	0	0
VIT_07s0005g06380	1640	1591	1247	1530	1573	1564
VIT_13s0019g01420	0	0	0	0	0	0
VIT_19s0027g01940	116	110	66	130	117	165
VIT_19s0014g03500	313	354	381	586	295	467
VIT_13s0067g02970	935	765	632	827	816	896
VIT_04s0008g06990	705	885	851	1095	803	962
VIT_10s0042g00720	0	0	0	0	0	0
VIT_14s0171g00240	197	204	193	154	143	147
VIT_00s0616g00010	1	1	1	4	10	11
VIT_08s0007g06920	1	0	1	0	0	1
VIT_14s0006g02920	1	1	0	1	0	1
VIT_06s0004g04640	7479	6161	7634	9536	3317	6856
VIT_00s0583g00040	678	719	624	599	792	739
VIT_07s0104g01290	1715	1696	1469	1794	1958	2020
VIT_00s0445g00050	3	2	1	0	0	1
VIT_18s0001g13300	637	303	288	242	542	442
VIT_16s0100g01240	106	91	99	143	105	128
VIT_01s0011g00990	43	2	5	12	2	3
VIT_07s0129g00380	2352	1875	1943	2245	2275	2547
VIT_06s0061g00220	813	1121	1014	791	791	774
VIT_02s0025g00680	5	4	9	4	9	14
VIT_17s0000g00120	617	688	524	746	880	864
VIT_06s0004g06500	1138	1325	1236	1016	908	1029
VIT_09s0054g01720	52	72	59	38	55	43
VIT_07s0151g00880	13	9	6	6	10	9
VIT_14s0030g00850	3	0	2	2	9	3
VIT_16s0039g02250	292	304	330	282	281	314
VIT_14s0068g01310	431	571	504	424	406	413
VIT_02s0087g00890	7	17	8	14	15	13
VIT_05s0049g01960	21	17	23	41	25	40
VIT_00s0227g00190	587	525	512	478	491	549
VIT_00s0198g00110	0	0	0	0	0	0
VIT_18s0157g00100	0	0	0	0	0	0
VIT_14s0006g02840	702	863	919	611	571	629
VIT_08s0056g01700	639	411	411	538	490	498
VIT_06s0004g04690	253	240	271	195	211	214
VIT_01s0011g03460	206	198	178	311	172	258
VIT_04s0008g01240	12	18	14	21	9	20
VIT_17s0000g01010	69	127	149	77	113	107
VIT_12s0028g02890	14	18	15	23	18	15
VIT_08s0007g09030	158	162	169	149	140	135
VIT_14s0036g01160	0	0	1	2	0	0
VIT_05s0094g00620	0	3	0	0	2	3
VIT_04s0023g02840	614	635	521	733	561	655
VIT_12s0034g01290	0	0	0	0	0	0
VIT_07s0104g01650	1	0	0	0	0	1
VIT_01s0010g03760	324	360	308	238	351	351
VIT_18s0075g00850	2	1	4	3	3	1
VIT_14s0081g00770	0	0	0	0	0	0
VIT_01s0026g01550	171	95	162	358	505	521
VIT_02s0236g00080	6	8	12	9	4	6
VIT_00s0361g00110	13	23	12	12	21	18
VIT_18s0001g15310	8231	5777	4970	5187	8139	7474
VIT_17s0000g09200	337	340	294	354	331	384
VIT_18s0001g04990	0	0	0	0	0	0
VIT_14s0066g02300	5	2	3	5	7	2
VIT_17s0000g10480	0	0	0	0	0	0
VIT_03s0038g02910	2	0	2	4	2	2
VIT_00s1450g00010	176	167	135	91	138	134
