	NIW_0_MPI_1	NIW_0_MPI_2	NIW_0_MPI_3	IW_0_MPI_1	IW_0_MPI_2	IW_0_MPI_3
VIT_04s0008g03030	108	140	132	65	59	95
VIT_14s0068g00280	1638	1734	1550	1465	2312	2086
VIT_12s0028g01980	435	639	701	787	571	682
VIT_06s0004g07310	122	113	74	129	197	196
VIT_08s0007g05580	73	23	13	207	108	180
VIT_09s0002g02250	17	32	31	39	32	38
VIT_06s0004g02730	596	638	655	680	753	764
VIT_02s0025g03940	303	245	267	153	304	219
VIT_07s0129g00800	0	0	0	1	1	0
VIT_17s0000g07720	1064	977	985	905	887	915
VIT_14s0066g00320	962	1120	1342	786	1027	924
VIT_08s0007g04530	1798	1546	1694	1219	1573	1393
VIT_05s0020g00380	4830	4533	4809	4232	5303	5177
VIT_18s0001g11210	3	1	3	8	2	2
VIT_05s0049g01460	480	515	497	457	505	490
VIT_01s0146g00420	89	170	139	98	50	87
VIT_14s0108g01130	130	129	108	88	214	157
VIT_05s0165g00250	1	2	2	2	5	4
VIT_19s0014g02960	28	30	37	20	22	17
VIT_18s0001g01630	359	285	323	412	806	1032
VIT_02s0025g03180	11	3	3	3	2	5
VIT_02s0025g01870	8	9	10	11	10	18
VIT_04s0044g01680	486	636	568	342	224	295
VIT_15s0045g00190	0	0	0	0	0	0
VIT_04s0008g06010	1	0	3	7	2	2
VIT_08s0007g01430	824	774	564	1220	1295	1257
VIT_02s0025g02700	67	137	78	174	37	129
VIT_05s0020g01670	1478	1531	1600	1047	1555	1404
VIT_18s0001g02230	0	0	1	0	0	0
VIT_16s0098g00740	86	79	60	61	49	55
VIT_00s0239g00010	0	0	0	0	0	0
VIT_16s0100g00940	2	2	0	1	3	2
VIT_14s0068g02120	16	7	13	17	15	14
VIT_08s0007g07930	304	416	393	549	305	484
VIT_12s0035g01830	1362	1503	1489	1357	1440	1509
VIT_09s0002g06890	180	18	26	52	44	65
VIT_08s0040g02190	486	177	216	156	341	319
VIT_03s0091g00280	46	119	106	108	26	71
VIT_19s0014g04910	5	3	3	3	2	4
VIT_12s0059g00140	36	45	40	42	54	47
VIT_15s0107g00350	0	0	0	0	0	0
VIT_06s0004g02820	1255	1325	1174	1090	1287	1255
VIT_09s0054g01390	14	8	1	0	11	7
VIT_08s0007g08010	221	218	163	244	200	228
VIT_08s0007g04430	177	184	153	174	159	188
VIT_06s0004g08310	354	377	310	338	348	386
VIT_00s1212g00010	0	0	0	0	0	0
VIT_04s0044g00100	491	561	589	618	555	586
VIT_08s0007g01320	84	57	44	116	151	141
VIT_05s0020g02560	332	395	427	462	464	499
VIT_04s0044g01410	35484	22194	23405	26387	35640	32971
VIT_00s0125g00060	103	55	114	352	360	450
VIT_18s0001g09420	3207	3223	2694	3517	3451	3740
VIT_07s0005g04130	454	508	455	525	352	436
VIT_00s0174g00090	16	19	16	23	22	19
VIT_14s0066g00060	286	59	103	70	87	65
VIT_05s0020g05030	0	0	0	0	0	0
VIT_07s0151g00080	3	1	0	2	2	1
VIT_18s0072g00990	888	351	257	240	230	271
VIT_08s0056g01120	517	468	588	578	523	547
VIT_18s0001g05260	1	1	2	3	5	4
VIT_11s0016g02610	5	2	1	0	0	0
VIT_04s0023g03210	3373	4682	4974	6090	4068	5273
VIT_15s0021g02030	239	274	277	249	211	257
VIT_18s0075g00460	0	0	0	1	2	1
VIT_07s0005g03180	7	8	5	15	17	21
VIT_17s0000g03620	5222	6176	7692	5957	6170	6210
